127.0.0.1 - - [02/Apr/2017:12:12:50 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Apr/2017:12:12:51 +0300] "GET /Yl4_Kodune_Server/ HTTP/1.1" 404 1030
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:12:13:55 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Apr/2017:12:33:30 +0300] "GET /HinnakiriService?wsdl HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [02/Apr/2017:12:33:30 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [02/Apr/2017:12:45:47 +0300] "GET /Yl4_Kodune_Server/services/ HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [02/Apr/2017:12:45:57 +0300] "GET /Yl4_Kodune_Server/services/11 HTTP/1.1" 404 1052
127.0.0.1 - - [02/Apr/2017:13:16:15 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Apr/2017:13:16:46 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [02/Apr/2017:13:16:57 +0300] "GET /HinnakiriService HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [02/Apr/2017:14:53:36 +0300] "GET /Yl4_Kodune_Server/WEB-INF/classes/ee/ttu/idu0080/hinnakiri/service/HinnakiriServiceImpl.java HTTP/1.1" 404 1178
127.0.0.1 - - [02/Apr/2017:14:54:53 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:14:55:01 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:14:55:34 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:14:56:38 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:14:56:41 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:14:57:11 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:14:57:12 +0300] "POST /Yl4_Kodune_Server/services/HinnakiriPort HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:02:08 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
127.0.0.1 - - [02/Apr/2017:15:02:08 +0300] "GET /Yl4_Kodune_Server/services/HinnakiriPort?wsdl HTTP/1.1" 404 1074
